$id   y1      y2
1     64.22   0
2     88.88   1
3     64.02   0
4     68.51   0
5     61.08   0
6     70.34   0
7     68.57   0
8     76.43   0
9     73.67   1
10    71.49   0
11    72.72   0
12    58.79   1
13    88.10   1
14    49.43   0
15    62.12   0
16    51.96   0
17    86.12   1
18    77.65   0
19    61.67   0
20    88.51   0
21    62.94   0
22    70.43   0
23    65.77   0
24    69.27   0
25    75.22   0
26    79.48   0
27    72.14   0
28    71.49   0
29    67.62   0
30    71.65   0
31    56.02   0
32    74.04   0
33    68.74   0
34    69.22   0
35    62.60   0
36    68.05   0
37    52.35   0
38    64.82   0
39    74.93   0
40    60.86   0
41    65.24   0
42    60.33   0
43    68.30   0
44    80.79   0
45    73.51   0
46    56.49   0
47    67.16   0
48    65.65   1
49    71.04   0
50    66.81   0
51    73.64   0
52    67.16   0
53    64.42   0
54    73.09   0
55    72.83   0
56    66.98   0
57    63.11   1
58    65.49   0
59    59.48   0
60    71.20   1
61    52.32   0
62    67.37   0
63    64.52   0
64    61.59   0
65    77.84   0
66    73.67   1
67    78.38   0
68    77.79   0
69    64.66   0
70    77.30   0
71    58.99   0
72    78.56   1
73    81.02   0
74    77.06   1
75    57.11   0
76    72.83   1
77    69.54   0
78    56.95   0
79    69.44   0
80    63.81   0
81    71.11   0
82    71.30   0
83    68.60   1
84    60.98   0
85    70.84   0
86    65.17   0
87    71.80   1
88    75.88   1
89    79.59   0
90    75.09   0
91    67.96   0
92    75.80   0
93    60.29   0
94    64.40   0
95    82.15   0
96    72.78   0
97    70.71   0
98    56.84   0
99    70.09   0
100   72.67   1
101   73.34   0
102   65.49   0
103   70.16   0
104   80.66   0
105   75.00   1
106   60.78   1
107   69.23   0
108   83.07   0
109   79.02   1
110   67.07   0
111   73.12   1
112   68.03   0
113   84.64   0
114   81.75   1
115   70.28   1
116   65.59   0
117   72.76   0
118   72.78   0
119   68.08   1
120   72.37   0
121   74.07   1
122   59.22   0
123   55.16   0
124   86.01   1
125   88.33   0
126   55.14   0
127   68.32   0
128   62.77   0
129   81.41   1
130   60.36   0
131   63.13   0
132   70.57   1
133   73.45   1
134   63.57   0
135   78.62   0
136   50.38   0
137   64.48   0
138   69.00   0
139   65.21   1
140   59.71   0
141   67.04   0
142   58.95   0
143   75.84   0
144   76.95   1
145   51.56   0
146   67.87   0
147   52.59   0
148   74.77   0
149   66.22   0
150   70.24   0
151   61.76   0
152   57.38   1
153   57.18   0
154   71.69   0
155   53.32   0
156   57.03   0
157   66.40   1
158   66.15   0
159   55.58   0
160   66.16   1
161   56.65   1
162   74.66   0
163   55.29   1
164   61.15   0
165   85.37   0
166   50.16   0
167   66.13   0
168   78.01   1
169   58.54   1
170   72.71   0
171   76.51   0
172   83.20   0
173   61.72   1
174   64.21   1
175   67.39   1
176   55.53   0
177   75.04   0
178   73.22   1
179   52.32   0
180   75.60   0
181   69.64   0
182   71.69   1
183   61.07   0
184   60.85   0
185   71.34   0
186   74.08   0
187   70.73   0
188   68.55   1
189   59.30   1
190   76.20   0
191   65.28   0
192   61.03   0
193   66.09   1
194   52.33   0
195   69.99   0
196   63.69   0
197   67.19   0
198   58.57   0
199   60.95   0
200   73.54   0
201   77.10   1
202   65.62   1
203   71.79   1
204   73.89   0
205   64.93   1
206   79.45   1
207   60.56   0
208   83.95   1
209   64.68   1
210   72.21   0
211   86.46   1
212   88.06   1
213   76.07   0
214   63.86   0
215   65.36   1
216   88.64   1
217   67.23   0
218   58.94   1
219   78.78   0
220   84.21   1
221   78.85   1
222   73.50   1
223   71.89   1
224   91.84   1
225   63.12   0
226   81.99   0
227   69.24   0
228   64.95   1
229   74.18   1
230   70.35   1
231   48.22   1
232   54.60   0
233   66.99   0
234   65.02   0
235   57.67   0
236   65.23   0
237   59.20   0
238   51.45   0
239   45.32   0
240   79.37   0
241   56.98   0
242   71.60   0
243   62.12   0
244   67.39   0
245   82.54   0
246   59.92   0
247   60.98   0
248   45.64   0
249   63.58   1
250   71.34   0
251   46.31   0
252   56.88   0
253   51.12   0
254   65.76   0
255   68.55   0
256   71.02   0
257   65.31   1
258   48.30   0
259   45.91   0
260   60.61   0
261   67.79   0
262   59.23   0
263   69.04   1
264   70.94   1
265   50.00   0
266   75.33   0
267   48.60   0
268   71.97   0
269   47.74   0
270   58.15   0
271   59.06   0
272   71.24   0
273   58.48   0
274   58.61   0
275   53.85   0
276   66.73   0
277   62.22   0
278   71.98   0
279   70.40   0
280   72.64   1
281   81.98   0
282   62.61   0
283   60.51   0
284   74.14   1
285   70.91   0
286   64.02   0
287   67.52   0
288   68.49   0
289   66.15   1
290   56.40   0
291   63.94   0
292   58.17   0
293   70.35   0
294   49.75   0
295   79.71   0
296   50.52   0
297   77.96   0
298   57.96   0
299   65.08   0
300   42.31   0
301   46.25   0
302   61.29   0
303   64.43   0
304   66.54   0
305   72.61   0
306   74.06   1
307   53.04   0
308   77.21   0
309   43.17   0
310   61.76   0
311   59.05   0
312   78.01   1
313   63.71   0
314   84.52   1
315   73.27   1
316   74.79   0
317   74.58   1
318   71.45   1
319   95.86   1
320   76.68   1
321   96.86   1
322   89.92   1
323   81.24   0
324   88.38   1
325   75.84   1
326   86.84   1
327   84.10   1
328   77.15   1
329   83.94   1
330   78.15   1
331   85.52   0
332   59.87   0
333   86.12   1
334   83.10   1
335   77.71   0
336   73.38   0
337   71.49   1
338   88.04   0
339   85.85   1
340   77.83   1
341   79.29   1
342   71.68   1
343   74.16   1
344   83.26   1
345   82.68   1
346   80.64   0
347   74.97   1
348   82.90   0
349   94.28   1
350   73.06   1
351   62.34   1
352   81.20   1
353   69.65   1
354   73.25   1
355   69.42   0
356   80.50   1
357   59.65   0
358   58.36   0
359   63.31   0
360   65.12   0
361   64.80   0
362   56.81   0
363   60.91   0
364   44.05   0
365   61.83   1
366   51.26   0
367   55.86   0
368   65.73   1
369   79.83   1
370   60.51   0
371   69.93   0
372   81.59   0
373   79.86   0
374   79.85   0
375   74.19   0
376   72.90   0
377   69.78   0
378   74.13   0
379   64.46   0
380   69.31   0
381   67.28   0
382   64.75   0
383   73.17   0
384   65.15   0
385   62.81   0
386   63.75   0
387   69.31   0
388   72.73   0
389   66.07   0
390   60.61   0
391   83.53   0
392   70.81   0
393   85.63   0
394   70.99   0
395   72.16   1
396   89.54   0
397   79.51   0
398   80.89   0
399   80.33   0
400   66.29   0
401   73.95   0
402   57.59   1
403   74.51   1
404   67.37   0
405   80.94   0
406   67.94   0
407   78.35   0
408   68.95   0
409   79.59   0
410   71.80   0
411   90.88   1
412   77.11   0
413   70.68   0
414   81.25   0
415   73.11   0
416   53.11   0
417   77.54   1
418   72.29   0
419   87.45   1
420   68.04   0
421   71.87   0
422   66.17   0
423   63.89   0
424   56.00   0
425   76.32   0
426   73.20   0
427   71.10   0
428   62.33   0
429   79.46   1
430   83.11   0
431   79.02   1
432   66.44   1
433   86.03   0
434   72.05   0
435   72.33   0
436   83.44   0
437   50.71   0
438   70.45   0
439   57.38   0
440   67.77   0
441   61.78   0
442   37.40   0
443   49.52   0
444   56.03   0
445   62.07   0
446   50.23   0
447   58.57   0
448   62.76   0
449   64.70   0
450   48.60   0
451   51.60   0
452   51.59   0
453   73.23   0
454   63.79   1
455   64.11   0
456   66.52   0
457   72.48   0
458   70.23   0
459   73.77   0
460   60.99   0
461   58.69   0
462   68.47   0
463   53.63   0
464   53.43   0
465   67.42   0
466   46.43   0
467   47.69   0
468   54.53   0
469   47.93   0
470   58.36   0
471   67.15   0
472   64.17   0
473   72.42   0
474   52.38   0
475   63.04   0
476   58.82   0
477   63.55   0
478   68.33   0
479   72.11   0
480   57.52   0
481   61.19   0
482   77.98   0
483   38.98   0
484   54.09   0
485   60.21   0
486   70.58   0
487   59.06   0
488   62.73   0
489   67.92   1
490   66.01   0
491   57.03   0
492   68.82   0
493   58.98   0
494   65.33   0
495   66.24   0
496   67.97   0
497   55.60   0
498   66.20   0
499   57.64   1
500   61.09   0
501   71.01   1
502   84.99   0
503   68.81   1
504   76.91   1
505   74.04   1
506   63.93   0
507   60.89   0
508   62.27   0
509   81.40   0
510   70.34   0
511   88.07   0
512   74.84   0
513   69.42   0
514   84.00   0
515   70.23   0
516   72.45   1
517   75.12   0
518   68.86   0
519   52.68   0
520   82.83   0
521   80.54   0
522   74.13   1
523   66.03   0
524   67.92   0
525   80.57   0
526   82.67   0
527   91.04   1
528   68.30   0
529   66.46   0
530   92.57   0
531   70.53   0
532   79.81   0
533   65.93   0
534   75.02   0
535   71.71   0
536   64.80   0
537   82.81   0
538   91.38   1
539   73.30   0
540   67.14   0
541   77.39   0
542   64.25   0
543   64.21   0
544   75.09   1
545   87.06   1
546   73.91   1
547   61.46   0
548   75.58   0
549   63.28   1
550   64.52   0
551   67.51   1
552   67.48   1
553   78.65   1
554   66.86   0
555   69.48   1
556   66.26   0
557   57.72   0
558   66.08   1
559   78.09   0
560   69.76   0
561   70.79   1
562   80.00   0
563   77.29   0
564   74.62   0
565   73.12   1
566   71.26   0
567   60.68   0
568   71.25   0
569   77.73   1
570   78.78   1
571   77.14   1
572   74.79   0
573   79.48   1
574   71.17   0
575   66.95   1
576   76.25   1
577   67.01   1
578   68.18   0
579   72.87   1
580   84.61   0
581   61.52   1
582   76.84   0
583   89.57   1
584   67.17   0
585   60.80   0
586   54.13   0
587   82.82   0
588   77.48   0
589   72.42   1
590   64.05   0
591   64.85   1
592   70.61   1
593   62.73   0
594   59.88   0
595   64.34   0
596   63.23   1
597   47.75   0
598   63.68   0
599   68.98   1
600   77.58   0
601   68.05   0
602   75.34   1
603   61.52   1
604   72.09   1
605   68.94   0
606   76.22   0
607   75.27   0
608   65.59   0
609   57.40   1
610   65.43   1
611   63.53   0
612   73.21   0
613   71.41   0
614   76.41   0
615   76.52   0
616   63.38   0
617   77.40   0
618   72.21   0
619   67.90   0
620   70.18   1
621   69.45   0
622   60.62   0
623   71.19   0
624   58.47   1
625   60.02   1
626   75.20   1
627   57.99   1
628   69.59   0
629   68.83   1
630   69.81   0
631   73.66   0
632   50.34   1
633   74.24   0
634   69.29   0
635   67.06   0
636   64.41   0
637   63.08   0
638   63.38   0
639   67.55   0
640   69.08   0
641   64.38   0
642   68.64   0
643   61.97   0
644   63.76   1
645   53.80   0
646   62.70   0
647   55.26   0
648   69.48   1
649   82.60   0
650   64.88   0
651   76.36   1
652   61.13   0
653   82.47   0
654   66.21   0
655   63.62   1
656   72.60   0
657   87.87   0
658   78.40   0
659   68.45   1
660   62.04   1
661   75.71   0
662   65.27   0
663   69.41   1
664   60.37   1
665   62.99   0
666   67.61   0
667   67.76   0
668   70.66   0
669   68.83   0
670   64.28   0
671   59.83   0
672   61.74   1
673   72.96   1
674   61.50   0
675   71.29   0
676   50.15   0
677   76.41   0
678   59.64   1
679   76.66   0
680   69.34   1
681   66.34   0
682   44.44   1
683   71.85   0
684   72.60   0
685   61.07   1
686   87.08   1
687   59.99   0
688   77.23   0
689   78.88   0
690   70.19   1
691   62.27   0
692   75.48   1
693   74.89   0
694   38.44   0
695   81.68   0
696   57.39   1
697   70.90   1
698   70.91   1
699   89.92   0
700   58.79   1
701   59.71   0
702   59.63   0
703   61.72   0
704   75.97   0
705   45.75   1
706   67.56   1
707   53.89   1
708   63.44   0
709   79.13   1
710   61.52   0
711   78.30   1
712   73.40   1
713   72.76   0
714   78.06   0
715   61.85   0
716   59.95   0
717   70.82   0
718   61.82   1
719   58.78   0
720   85.78   0
721   53.22   0
722   73.67   0
723   71.43   0
724   67.61   0
725   69.05   0
726   55.64   0
727   81.38   0
728   84.25   0
729   54.27   0
730   80.07   0
731   61.08   0
732   73.11   1
733   77.64   0
734   70.84   0
735   60.16   0
736   73.24   0
737   71.89   0
738   72.70   0
739   63.27   0
740   65.45   0
741   69.40   1
742   76.39   0
743   65.10   0
744   46.30   0
745   67.36   0
746   74.94   0
747   68.71   0
748   54.08   0
749   75.86   0
750   72.71   0
751   75.07   1
752   80.58   1
753   78.33   1
754   71.61   1
755   59.96   0
756   80.23   1
757   67.30   0
758   74.47   0
759   78.09   1
760   66.73   1
761   77.59   1
762   75.93   1
763   80.92   0
764   67.95   1
765   66.70   0
766   68.07   0
767   68.46   1
768   67.50   0
769   79.55   1
770   63.57   1
771   81.06   1
772   64.25   0
773   69.93   1
774   60.93   0
775   54.22   1
776   72.40   1
777   63.87   0
778   79.39   0
779   59.44   1
780   99.70   1
781   76.44   0
782   73.06   1
783   69.61   1
784   66.96   1
785   88.33   1
786   74.12   1
787   63.36   0
788   83.50   0
789   67.74   1
790   59.68   0
791   55.76   1
792   51.47   1
793   68.73   1
794   45.86   0
795   67.52   0
796   50.12   0
797   75.27   1
798   50.95   0
799   68.90   0
800   70.92   0
801   60.24   0
802   65.61   0
803   60.09   0
804   75.42   0
805   81.54   0
806   72.44   0
807   66.98   1
808   67.55   0
809   69.44   1
810   69.94   0
811   68.84   1
812   67.82   0
813   86.94   0
814   68.64   0
815   54.63   0
816   67.52   1
817   80.71   1
818   56.01   0
819   58.69   0
820   70.05   0
821   68.27   0
822   81.06   0
823   54.77   0
824   75.62   1
825   35.00   0
826   77.08   1
827   80.07   1
828   68.70   0
829   87.80   1
830   78.96   1
831   58.73   1
832   50.27   0
833   66.73   0
834   39.51   0
835   70.85   1
836   67.29   0
837   67.26   0
838   72.18   0
839   65.30   0
840   72.42   1
841   61.29   0
842   70.21   0
843   55.89   0
844   65.64   0
845   72.72   0
846   83.78   1
847   60.89   0
848   59.40   0
849   69.13   0
850   58.98   0
851   69.37   0
852   73.15   0
853   66.14   1
854   64.25   0
855   65.29   1
856   79.05   1
857   77.61   0
858   65.70   0
859   68.84   0
860   73.28   0
861   73.11   0
862   70.12   1
863   61.67   0
864   76.03   0
865   81.99   0
866   72.25   1
867   54.72   0
868   67.83   1
869   63.25   1
870   66.54   0
871   65.20   0
872   80.80   0
